"Code" "Site" "Location" "River" "Date" "H" "Na" "K" "Mg" "Ca" "Sr" "Ba" "NH4" "Cl" "NO3" "PO4" "SO4" "HCO3" "TOC"
"52"   436039   4 "Anoia" "Anoia" "01.09.1998" 1.995262e-08  340.200  17.1160  63.040 215.00  3.43200 0.067038 1.990168e+00  438.066606  26.3490993  1.68606575  497.39754 423.4000 12.190
"53"   436100   4 "Anoia" "Anoia" "01.11.1998" 1.380384e-08  425.800  18.9760  60.980 219.20  3.65800 0.068890 8.740193e+00  537.285650   5.6980396  1.04375499  552.73131 449.0000 14.250
"54"   436130   4 "Anoia" "Anoia" "01.12.1998" 3.162278e-08  257.200  13.8960  58.220 216.40  3.67200 0.065711 2.443634e+00  309.619759   9.7507934  4.28207174  497.85114 393.8000  8.889
"55"   436251   4 "Anoia" "Anoia" "01.04.1999" 5.649370e-09  350.000  17.2900  66.960 237.20  3.59800 0.055843 5.779077e+00  447.932381   2.8199824  1.33814742  567.28171 433.6000 11.840
"56"   436373   4 "Anoia" "Anoia" "01.08.1999" 1.648162e-08  296.000  15.3160  59.580 193.12  3.31800 0.055796 1.803548e+00  341.491568  12.4655448  1.07051793  435.40016 430.9000  8.591
"57"  7435612  74 "Anoia" "Anoia" "01.07.1997" 7.943282e-09  183.800  14.5700  61.610 175.60  3.74191 0.059390 3.159139e-01  292.106868   2.9104391  0.29438200  432.77514 346.9139  6.468
"58"  7435643  74 "Anoia" "Anoia" "01.08.1997" 6.309573e-09  143.800  11.4100  59.620 190.60  3.22000 0.086588 3.289360e-01  195.729501   4.4511101  1.12404383  388.53411 356.7183  5.319
"59"  7435674  74 "Anoia" "Anoia" "01.09.1997" 7.943282e-09  213.300  16.5000  65.910 215.70  3.56600 0.081477 2.751949e-01  310.359046   1.4502621  0.73598108  553.55614 388.0620  7.654
"60"  7435704  74 "Anoia" "Anoia" "01.10.1997" 6.309573e-09  243.600  14.6800  61.940 199.20  3.30400 0.074883 1.780369e-01  312.368254   3.7076826  0.82965140  487.82741 377.1300  7.362
"61"  7435765  74 "Anoia" "Anoia" "01.12.1997" 2.118361e-08  243.500  14.8800  63.210 209.00  3.55500 0.297249 4.184227e-01  339.834596   4.3691028  0.78950698  548.14608 398.2300  9.779
"62"  7435796  74 "Anoia" "Anoia" "01.01.1998" 1.096478e-09  182.300  11.5800  57.380 185.90  3.16200 0.058652 5.821379e-01  280.088617   8.9288438  1.11066236  478.32777 376.8800  7.182
"63"  7435827  74 "Anoia" "Anoia" "01.02.1998" 1.412538e-08  206.800  13.3700  57.080 187.50  3.26900 0.054020 1.457906e+00  211.776419  10.4087829  0.48173307  422.30113 429.0000  6.649
"64"  7435855  74 "Anoia" "Anoia" "01.03.1998" 8.912509e-09  224.100  15.5000  61.540 196.40  3.47700 0.056100 3.167277e+00  271.827607  14.3062332  0.66907371  442.56144 398.0000  8.217
"65"  7435886  74 "Anoia" "Anoia" "01.04.1998" 4.168694e-08  235.100  16.9500  62.200 206.80  3.56000 0.061300 6.980337e+00  337.417658   7.2714018  1.17756973  469.19245 427.1000  9.096
"66"  7435916  74 "Anoia" "Anoia" "01.05.1998" 2.290868e-08  324.000  18.0580  72.960 232.00  3.46800 0.061438 1.906042e+00  406.429027  13.9978280  0.44158865  548.89051 388.1000  9.436
"67"  7435947  74 "Anoia" "Anoia" "01.06.1998" 1.174898e-08  292.600  16.3800  59.520 184.04  3.00400 1.995290 1.990953e+00  383.939472  12.9417311  1.12404383  496.63520 392.4000  9.077
"68"  7435977  74 "Anoia" "Anoia" "01.07.1998" 2.290868e-08  358.800  19.3640  65.660 209.20  3.48000 0.071097 2.008563e+00  459.796739  29.3984897  0.26762948  544.01696 372.5000  8.942
"69"  7436008  74 "Anoia" "Anoia" "01.08.1998" 8.709636e-08  120.800  13.5000  27.200 100.80  1.56000 0.064092 1.793803e+00  182.092600   8.2047223  1.79311754  242.23023 210.4000 10.700
"70"  7436039  74 "Anoia" "Anoia" "01.09.1998" 7.244360e-09  398.600  19.0840  64.940 201.00  3.53800 0.065886 6.408515e-01  437.354383   1.2042107  1.87340639  472.03671 420.7000  9.430
"71"  7436069  74 "Anoia" "Anoia" "01.10.1998" 1.698244e-08  351.800  16.5520  56.480 207.00  3.30400 0.067193 1.732513e+00  464.851776  12.0739321  1.39167331  593.21692 422.5000  8.526
"72"  7436100  74 "Anoia" "Anoia" "01.11.1998" 1.778279e-08  425.600  16.9840  59.840 205.80  3.43000 0.060602 2.876350e+00  623.067911  12.0233239  1.31138447  623.87099 413.3000 12.070
"73"  7436130  74 "Anoia" "Anoia" "01.12.1998" 3.019952e-08  280.400  15.0460  58.340 214.40  3.55200 0.083132 1.924429e+00  462.011362   8.8086034  0.66907371  693.83738 377.3000  9.122
"74"  7436161  74 "Anoia" "Anoia" "01.01.1999" 1.698244e-08  279.200  17.5240  65.000 219.60  3.39200 0.059957 1.239711e+00  368.669240   2.7610996  0.13381474  571.17343 397.8000  7.840
"75"  7436251  74 "Anoia" "Anoia" "01.04.1999" 3.326596e-09  332.000  20.3400  66.860 226.40  3.35200 0.060511 6.794224e+00  440.750091   0.8631516  2.40866535  565.41744 444.1000 13.910
"76"  7436373  74 "Anoia" "Anoia" "01.08.1999" 1.527566e-08  322.200  16.4100  62.820 191.26  3.28000 0.072325 7.171587e-01  463.447090   7.3135702  1.73959164  522.67032 425.6000  7.249
"77"  5035612  50 "At" "Anoia" "01.07.1997" 7.943282e-09   38.510   5.6830  56.490 198.00  3.07950 0.047460 1.665091e-01   54.507073   3.4928572  0.33452500  396.41944 366.5227  3.516
"78"  5035643  50 "At" "Anoia" "01.08.1997" 6.309573e-09   32.270   4.8400  57.830 202.30  2.65100 0.076286 2.705830e-01   60.002956   8.4199705  0.37468128  444.89451 313.8938  5.752
"79"  5035704  50 "At" "Anoia" "01.10.1997" 9.120108e-09   54.150   6.2530  60.150 214.20  2.76700 0.062398 2.641360e-02   61.967561   3.2067042  0.28101096  390.83641 368.4500  4.604
"80"  5035735  50 "At" "Anoia" "01.11.1997" 3.311311e-08   38.180   7.3550  45.310 170.10  2.10600 0.055824 1.928220e+00   54.228828   2.7272867  0.06690737  309.84995 306.3700  5.920
"81"  5035796  50 "At" "Anoia" "01.01.1998" 2.754229e-09   42.850   5.0500  54.640 194.70  2.58400 0.060731 6.751407e-01   55.714037   5.0003496  0.69583666  444.80816 358.4000  4.488
"82"  5035827  50 "At" "Anoia" "01.02.1998" 1.698244e-08   47.710   6.4400  53.800 198.40  2.72600 0.042648 3.093805e-01   48.768385   1.5137722  0.10705179  357.90938 326.8000  4.536
"83"  5035855  50 "At" "Anoia" "01.03.1998" 1.174898e-08   90.810   6.4210  55.460 202.20  2.66800 0.048200 7.415189e-02   91.225302   0.2692685  0.22748506  372.50118 408.2000  7.783
"84"  5035886  50 "At" "Anoia" "01.04.1998" 1.348963e-08   51.040   5.7700  55.770 200.50  2.71400 0.048700 2.933031e+00   69.389934   0.6538499  0.57540339  453.99674 409.5000  4.996
"85"  5035916  50 "At" "Anoia" "01.05.1998" 2.691535e-08   59.120   6.8230  56.200 197.60  2.52300 0.037937 4.381176e+00   84.803055   0.6554824  0.44158865  426.28363 361.4000  3.661
"86"  5035947  50 "At" "Anoia" "01.06.1998" 1.174898e-08   46.140   5.9820  51.070 176.30  2.24300 0.047365 1.222691e+00   59.306689   1.7504031  0.74936255  409.07628 365.2000  4.556
"87"  5035977  50 "At" "Anoia" "01.07.1998" 1.348963e-08   54.070   7.8890  53.170 176.80  2.31400 0.051056 1.218203e+00   70.156093   4.3359477  0.81626992  411.51343 363.9000  4.942
"88"  5036008  50 "At" "Anoia" "01.08.1998" 3.311311e-08   96.270   7.5650  46.530 221.90  2.06300 0.129761 9.786231e-02  111.828290   0.4183515  0.66907371  361.30540 631.4000 80.190
"89"  5036039  50 "At" "Anoia" "01.09.1998" 1.778279e-08   94.740   8.7530  58.110 199.90  2.74000 0.053320 1.764502e+00  110.426780  11.6383532  0.86979582  440.23442 406.7000  6.769
"90"  5036100  50 "At" "Anoia" "01.11.1998" 1.778279e-08   73.980   5.9120  56.260 217.00  2.79200 0.054352 9.016278e-01  121.655950   2.2128719  0.24086654  384.33012 399.1000  4.685
"91"  5036130  50 "At" "Anoia" "01.12.1998" 3.162278e-08   64.620   6.6450  54.940 212.20  2.76900 0.068504 2.428169e+00  105.790947   2.8771048  0.80288845  485.92428 388.6000  5.231
"92"  5036161  50 "At" "Anoia" "01.01.1999" 2.290868e-08   67.020  20.2400  58.800 233.60  2.58700 0.052936 1.473747e+00   78.343007   8.0745847  0.13381474  493.75722 474.6000  9.469
"93"  5036251  50 "At" "Anoia" "01.04.1999" 1.321296e-08   75.970   8.0030  59.190 231.60  2.60500 0.048198 2.038640e+00   78.146834   9.5906347  0.40144423  430.69645 426.0000  6.034
"94"  5036373  50 "At" "Anoia" "01.08.1999" 1.710015e-08  104.900   7.8150  55.860 198.90  2.62600 0.060321 6.939386e+00  134.952528   1.5785482  0.53525897  415.10088 505.0000  8.870
"95"  5135612  51 "At" "Anoia" "01.07.1997" 6.309573e-09   68.400   5.8310  93.130 152.90  6.14879 0.048480 2.137976e-01   82.254070  19.1705933  0.21409600  405.67893 405.9944  6.370
"96"  5135643  51 "At" "Anoia" "01.08.1997" 7.943282e-09   67.020   6.5780  90.490 152.20  5.31700 0.068813 9.953080e-02   85.234098  21.6883611  0.17395916  367.40402 380.5943  4.046
"97"  5135674  51 "At" "Anoia" "01.09.1997" 7.943282e-09   66.350   6.2920  90.960 146.50  5.25200 0.061223 2.843675e-01   88.355471  34.2866179  0.09367032  408.81726 404.8768  3.062
"98"  5135765  51 "At" "Anoia" "01.12.1997" 9.332543e-09   73.850   6.7040  98.040 163.90  5.98900 0.056346 4.688134e-02   90.616931  26.4390958  0.25424801  462.75327 432.7800  3.492
"99"  5135796  51 "At" "Anoia" "01.01.1998" 2.570396e-09   57.800   4.0550  80.800 134.90  4.17100 0.073527 3.675615e-02   80.373199  12.9904368  0.25424801  416.97585 415.0400  4.975
"100"  5135827  51 "At" "Anoia" "01.02.1998" 4.786301e-09  173.900   4.7460  76.230 142.10  4.06800 0.043174 6.736051e-02   62.346099  12.3083965  0.28101096  540.54139 300.1000  3.741
"101"  5135855  51 "At" "Anoia" "01.03.1998" 5.623413e-09   70.160   4.9500  82.240 141.30  4.47100 0.046900 4.728717e-02   64.928363  12.2453431  0.21410359  338.59125 393.8000  4.245
"102"  5135886  51 "At" "Anoia" "01.04.1998" 5.623413e-09   76.370   5.5120  89.370 148.00  5.13900 0.046100 8.506508e-02   80.983534  15.4397983  0.17395916  508.47577 370.5000  3.771
"103"  5135916  51 "At" "Anoia" "01.05.1998" 1.174898e-08  109.500   9.8930 190.700 162.70  6.66600 0.048468 4.159501e-01  100.528042   2.8854610  0.20072211  912.05492 332.5000  6.163
"104"  5136130  51 "At" "Anoia" "01.12.1998" 2.511886e-08  105.300   6.9980  99.200 188.80  6.12200 0.059077 5.250906e-01   92.759136  10.4816564  0.66907371  752.43635 402.9000  4.088
"105"  5136161  51 "At" "Anoia" "01.01.1999" 6.456542e-09   63.760   4.6490  81.990 158.70  3.77000 0.049189 1.422526e-01   63.776694  14.2371263  0.26762948  435.13949 382.2000  3.240
"106"  5136251  51 "At" "Anoia" "01.04.1999" 1.216186e-08  101.700   6.2780 104.300 165.40  5.51400 0.037204 7.818968e-02   95.461396   8.1488236  0.13381474  629.24576 382.0000  3.468
"107"  6535612  65 "At" "Anoia" "01.07.1997" 1.000000e-08   21.100   2.3820  40.830 179.60  3.23049 0.137060 2.009210e-01   32.334899   3.4997489  0.14719100  217.76964 333.4519  3.502
"108"  6535643  65 "At" "Anoia" "01.08.1997" 1.000000e-08   22.820   2.0440  43.070 197.40  2.99000 0.077501 9.169115e-02   47.219516   7.1694191  0.34791833  370.48124 297.0282  5.491
"109"  6535674  65 "At" "Anoia" "01.09.1997" 1.258925e-08   30.320   2.8690  41.960 189.10  2.94000 0.066702 2.660545e-01   48.183453   3.8714000  0.12043327  372.35932 335.0267  4.889
"110"  6535735  65 "At" "Anoia" "01.11.1997" 4.466836e-08   17.520   4.0110  39.950 180.30  2.67800 0.073103 2.448287e-01   30.826100   1.2786998  0.93670319  332.86234 284.6200  4.218
"111"  6535765  65 "At" "Anoia" "01.12.1997" 5.714786e-09   53.560   2.8310  46.250 204.50  3.34900 0.057044 9.299161e-01   64.253581   7.0292585  0.58878486  467.52029 321.8900  4.585
"112"  6535796  65 "At" "Anoia" "01.01.1998" 1.258925e-09   41.230   2.0910  38.370 170.10  2.54600 0.044709 3.229955e-01   62.267521   7.3622690  0.26762948  398.85962 312.4900  3.889
"113"  6535827  65 "At" "Anoia" "01.02.1998" 1.737801e-08   32.220   1.6380  42.230 189.10  3.01400 0.045158 2.140702e-01   36.234547   8.9747341  0.14719622  325.92027 398.1000  3.496
"114"  6535855  65 "At" "Anoia" "01.03.1998" 6.918310e-09   33.450   1.9910  40.560 184.20  2.82700 0.037300 2.300879e-01   31.625650   8.0916321  0.17395916  315.00417 315.6000  3.720
"115"  6535886  65 "At" "Anoia" "01.04.1998" 1.318257e-08   68.360   3.2230  41.750 177.90  2.91700 0.040900 1.909214e-01   88.138888  10.2870571  0.52187749  491.30693 306.2000  6.056
"116"  6535916  65 "At" "Anoia" "01.05.1998" 2.089296e-08   73.420   2.6530  47.250 200.30  3.31400 0.040001 3.950567e-01   95.049421   2.2555164  0.46835160  448.03154 310.7000  3.075
"117"  6535947  65 "At" "Anoia" "01.06.1998" 1.445440e-08   48.620   2.3060  41.410 187.20  3.02900 0.043645 1.302128e+00   59.107262   2.5100384  0.99022909  419.99396 334.0000  6.249
"118"  6535977  65 "At" "Anoia" "01.07.1998" 1.995262e-08   53.490   2.5960  40.460 183.80  3.03200 0.042066 1.470811e+00   68.521765   4.3223403  0.50849602  412.87800 323.6000  4.057
"119"  6536008  65 "At" "Anoia" "01.08.1998" 2.089296e-08    8.589   5.0200  21.230 102.50  1.40900 0.123540 4.009633e-01   15.489640   7.2733467  0.84303287  239.93277 146.0000  4.474
"120"  6536039  65 "At" "Anoia" "01.09.1998" 2.511886e-08  103.800   4.0820  46.500 208.50  3.82400 0.049513 1.254675e+00  118.088116   8.9171377  0.57540339  445.63432 341.5000  7.920
"121"  6536130  65 "At" "Anoia" "01.12.1998" 2.511886e-08   35.410   2.7590  35.510 189.30  2.80200 0.058992 6.638135e-01   76.195260   6.1727624  0.26762948  456.39232 317.8000  5.537
"122"  6536161  65 "At" "Anoia" "01.01.1999" 2.511886e-08   56.700   2.7040  42.060 195.60  2.66900 0.047743 3.513556e-01   74.315360   3.7759037  0.40144423  407.25734 324.9000  3.780
"123"  6536251  65 "At" "Anoia" "01.04.1999" 1.393157e-08   97.310   3.5020  50.970 245.40  3.55700 0.046878 4.302064e-01  195.122379   1.0564595  0.13381474  581.26421 278.5000  8.536
"124" 12035612 120 "At" "Anoia" "01.07.1997" 1.000000e-08  202.000  37.1600  60.430 153.80  2.17087 0.057300 1.108345e+00  293.677972  10.4194565  8.83146000  286.74148 487.5286 10.910
"125" 12035643 120 "At" "Anoia" "01.08.1997" 1.000000e-08  213.900  29.1500  51.280 159.70  1.41600 0.050292 2.306761e+00  306.134372   8.0534610 11.45454190  260.67311 466.4973 10.250
"126" 12035674 120 "At" "Anoia" "01.09.1997" 1.000000e-08  218.600  48.3500  51.480 151.30  1.57000 0.040666 1.005955e+00  264.987146  41.6712494 15.40207678  275.90375 518.1610 11.100
"127" 12035704 120 "At" "Anoia" "01.10.1997" 9.120108e-09  248.700  30.2100  49.640 158.30  1.53700 0.037970 5.164824e-02  319.823025  38.8620918 14.93372518  380.72556 505.3400  9.532
"128" 12035765 120 "At" "Anoia" "01.12.1997" 2.290868e-08  149.200  37.5000  60.900 142.70  1.78000 0.317007 3.635313e-01  235.403385   9.5452729  4.45603090  268.67125 419.9800  9.401
"129" 12035796 120 "At" "Anoia" "01.01.1998" 8.128305e-09  174.400  87.0300  97.560 169.00  2.23200 0.126267 3.785741e-01  352.835178  54.2989838  2.76996516  341.67952 557.5000  7.149
"130" 12035827 120 "At" "Anoia" "01.02.1998" 6.456542e-09  175.900  48.8300  86.380 157.80  2.15700 0.072366 2.554874e-01  214.908604  17.5386743  3.37213149  285.47633 561.9000  6.379
"131" 12035855 120 "At" "Anoia" "01.03.1998" 5.128614e-09  182.600  58.6100  90.570 153.80  2.16000 0.075600 6.328618e-01  236.473139  18.0725154  3.25169823  320.21751 505.1000  8.398
"132" 12035886 120 "At" "Anoia" "01.04.1998" 8.317638e-09  173.800  80.1900  94.780 142.20  2.16400 0.067100 5.060093e-01  309.778571  19.5815470  3.01083169  371.71122 538.5000  7.627
"133" 12035916 120 "At" "Anoia" "01.05.1998" 9.772372e-09  241.200  44.0200  72.760 143.04  1.92560 0.038682 8.015146e-01  355.613657   0.8870815 13.99702199  331.01052 508.0000  8.600
